장비ID,장비명,분류,역할,입력자원,출력자원,필요전력,연결가능장비,관련레시피,자주발생문제,원본장비타입,레벨목록,설치비용자원,레벨별설치비용수량,레벨별내구도,레벨별전력,입력포트수,입력버퍼수,출력포트수,출력버퍼수,가로크기,세로크기,이미지에셋
equipment_air_compressor,압축기,생산,기체 자원을 채취하거나 압축해 공급하는 장비,없음,산소(resource_oxygen); 수소(resource_hydrogen); 질소(resource_nitrogen); 헬륨(resource_helium),10,파이프(equipment_pipe),,전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 파이프 막힘(issue_pipe_blocked); 물류 방식 불일치(issue_wrong_transport_type); 저장 방식 불일치(issue_wrong_storage_type); 장비 내구도 저하(issue_machine_damaged); 설치 비용 부족(issue_build_cost_shortage),압축기(AirCompressor),1; 2; 3,철괴(resource_iron_ingot),Lv1:10; Lv2:10; Lv3:10,Lv1:1000; Lv2:1000; Lv3:1000,Lv1:10; Lv2:10; Lv3:10,1,1,1,1,3,3,Lv1:/Game/Assets/UIImg/Machine/AirCompressor_Lv1.AirCompressor_Lv1; Lv2:/Game/Assets/UIImg/Machine/AirCompressor_Lv2.AirCompressor_Lv2; Lv3:/Game/Assets/UIImg/Machine/AirCompressor_Lv3.AirCompressor_Lv3
equipment_conveyor,컨베이어,물류,고체 자원을 장비와 저장소 사이로 운반하는 물류 장비,고체 자원 전체,고체 자원 전체,0,채굴기(equipment_miner_machine); 제련기(equipment_smelter); 분쇄기(equipment_grinder); 저장고(equipment_storage),,컨베이어 막힘(issue_conveyor_blocked); 물류 방식 불일치(issue_wrong_transport_type); 장비 내구도 저하(issue_machine_damaged); 설치 비용 부족(issue_build_cost_shortage),컨베이어(Conveyor),1; 2; 3,철괴(resource_iron_ingot),Lv1:10; Lv2:10; Lv3:10,Lv1:1000; Lv2:1000; Lv3:1000,Lv1:0; Lv2:0; Lv3:0,0,0,0,0,1,1,Lv1:/Game/Assets/UIImg/Machine/Conveyor.Conveyor; Lv2:/Game/Assets/UIImg/Machine/Conveyor.Conveyor; Lv3:/Game/Assets/UIImg/Machine/Conveyor.Conveyor
equipment_grinder,분쇄기,생산,고체 자원을 분쇄해 분말 또는 톱밥으로 변환하는 생산 장비,철괴(resource_iron_ingot); 구리괴(resource_copper_ingot); 아연괴(resource_zinc_ingot); 납괴(resource_lead_ingot); 주석괴(resource_tin_ingot); 알루미늄괴(resource_aluminum_ingot); 니켈괴(resource_nickel_ingot); 텅스텐괴(resource_tungsten_ingot); 티타늄괴(resource_titanium_ingot); 마그네슘괴(resource_magnesium_ingot); 금괴(resource_gold_ingot); 은괴(resource_silver_ingot); 숯(resource_charcoal); 석탄(resource_coal); 목재(resource_wood); 황광석(resource_sulfur_ore),철가루(resource_iron_powder); 구리가루(resource_copper_powder); 아연가루(resource_zinc_powder); 납가루(resource_lead_powder); 주석가루(resource_tin_powder); 알루미늄가루(resource_aluminum_powder); 니켈가루(resource_nickel_powder); 텅스텐가루(resource_tungsten_powder); 티타늄가루(resource_titanium_powder); 마그네슘가루(resource_magnesium_powder); 금가루(resource_gold_powder); 은가루(resource_silver_powder); 숯가루(resource_charcoal_powder); 석탄가루(resource_coal_powder); 톱밥(resource_sawdust); 황가루(resource_sulfur_powder),10,컨베이어(equipment_conveyor),철가루 제작 공정(recipe_crush_iron); 구리가루 제작 공정(recipe_crush_copper); 아연가루 제작 공정(recipe_crush_zinc); 납가루 제작 공정(recipe_crush_lead); 주석가루 제작 공정(recipe_crush_tin); 알루미늄가루 제작 공정(recipe_crush_aluminum); 니켈가루 제작 공정(recipe_crush_nickel); 텅스텐가루 제작 공정(recipe_crush_tungsten); 티타늄가루 제작 공정(recipe_crush_titanium); 마그네슘가루 제작 공정(recipe_crush_magnesium); 금가루 제작 공정(recipe_crush_gold); 은가루 제작 공정(recipe_crush_silver); 숯가루 제작 공정(recipe_crush_charcoal); 석탄가루 제작 공정(recipe_crush_coal); 톱밥 제작 공정(recipe_make_sawdust); 황가루 제작 공정(recipe_crush_sulfur),전력 부족(issue_no_power); 입력 자원 부족(issue_no_input); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state); 장비 내구도 저하(issue_machine_damaged); 설치 비용 부족(issue_build_cost_shortage),분쇄기(Grinder),1; 2; 3,철괴(resource_iron_ingot),Lv1:10; Lv2:10; Lv3:10,Lv1:1000; Lv2:1000; Lv3:1000,Lv1:10; Lv2:10; Lv3:10,1,1,1,1,5,5,Lv1:/Game/Assets/UIImg/Machine/Grinder_Lv1.Grinder_Lv1; Lv2:/Game/Assets/UIImg/Machine/Grinder_Lv2.Grinder_Lv2; Lv3:/Game/Assets/UIImg/Machine/Grinder_Lv3.Grinder_Lv3
equipment_magnetic_shield,자기 보호막,방어,공장 또는 장비를 보호하는 방어/보호 장비,없음,없음,100,전력 노드(equipment_power_grid_node),,전력 부족(issue_no_power); 전력망 연결 끊김(issue_power_network_disconnected); 장비 내구도 저하(issue_machine_damaged); 설치 비용 부족(issue_build_cost_shortage),자기 보호막(MagneticShield),1,철괴(resource_iron_ingot),Lv1:100,Lv1:10000,Lv1:100,0,0,0,0,3,3,Lv1:/Game/Assets/UIImg/Machine/MagneticShield.MagneticShield
equipment_miner_machine,채굴기,생산,고체 원재료를 채취하는 기본 장비,없음,목재(resource_wood); 석탄(resource_coal); 철광석(resource_iron_ore); 구리광석(resource_copper_ore); 아연광석(resource_zinc_ore); 납광석(resource_lead_ore); 주석광석(resource_tin_ore); 알루미늄광석(resource_aluminum_ore); 니켈광석(resource_nickel_ore); 텅스텐광석(resource_tungsten_ore); 티타늄광석(resource_titanium_ore); 마그네슘광석(resource_magnesium_ore); 금광석(resource_gold_ore); 은광석(resource_silver_ore); 우라늄(resource_uranium); 황광석(resource_sulfur_ore); 모래(resource_sand),10,컨베이어(equipment_conveyor),,전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 물류 방식 불일치(issue_wrong_transport_type); 장비 내구도 저하(issue_machine_damaged); 설치 비용 부족(issue_build_cost_shortage),채굴기(MinerMachine),1; 2; 3,철괴(resource_iron_ingot),Lv1:10; Lv2:10; Lv3:10,Lv1:1000; Lv2:1000; Lv3:1000,Lv1:10; Lv2:10; Lv3:10,1,1,1,1,3,3,Lv1:/Game/Assets/UIImg/Machine/MinerMachine_Lv1.MinerMachine_Lv1; Lv2:/Game/Assets/UIImg/Machine/MinerMachine_Lv2.MinerMachine_Lv2; Lv3:/Game/Assets/UIImg/Machine/MinerMachine_Lv3.MinerMachine_Lv3
equipment_power_grid_node,전력 노드,전력,발전소와 장비 사이의 전력망을 연결하는 노드,없음,없음,40,발전소(equipment_power_plant); 제련기(equipment_smelter); 분쇄기(equipment_grinder); 채굴기(equipment_miner_machine); 펌프(equipment_pump); 압축기(equipment_air_compressor); 자기 보호막(equipment_magnetic_shield),,전력망 연결 끊김(issue_power_network_disconnected); 장비 내구도 저하(issue_machine_damaged); 설치 비용 부족(issue_build_cost_shortage),전력 노드(PowerGridNode),1,철괴(resource_iron_ingot),Lv1:10,Lv1:1000,Lv1:40,0,0,0,0,1,1,Lv1:/Game/Assets/UIImg/Machine/PowerGridNode.PowerGridNode
equipment_power_plant,발전소,전력,전력을 생산하는 발전 장비,숯(resource_charcoal); 숯가루(resource_charcoal_powder); 석탄(resource_coal); 석탄가루(resource_coal_powder); 석유(resource_petrolium); 우라늄(resource_uranium),전력(resource_power),30,전력 노드(equipment_power_grid_node),,연료 부족(issue_no_fuel); 전력망 연결 끊김(issue_power_network_disconnected); 장비 내구도 저하(issue_machine_damaged); 설치 비용 부족(issue_build_cost_shortage),발전소(PowerPlant),1,철괴(resource_iron_ingot),Lv1:10,Lv1:1000,Lv1:30,0,0,0,0,4,4,Lv1:/Game/Assets/UIImg/Machine/PowerPlant.PowerPlant
equipment_pump,펌프,생산,액체 자원을 채취하거나 액체 라인으로 공급하는 장비,없음,물(resource_water); 폐수(resource_waste_water); 산(resource_acid); 석유(resource_petrolium); 수은(resource_mercury),10,파이프(equipment_pipe),,전력 부족(issue_no_power); 출력 공간 부족(issue_output_full); 파이프 막힘(issue_pipe_blocked); 물류 방식 불일치(issue_wrong_transport_type); 저장 방식 불일치(issue_wrong_storage_type); 장비 내구도 저하(issue_machine_damaged); 설치 비용 부족(issue_build_cost_shortage),펌프(Pump),1; 2; 3,철괴(resource_iron_ingot),Lv1:10; Lv2:10; Lv3:10,Lv1:1000; Lv2:1000; Lv3:1000,Lv1:10; Lv2:10; Lv3:10,1,1,1,1,3,3,Lv1:/Game/Assets/UIImg/Machine/Pump_Lv1.Pump_Lv1; Lv2:/Game/Assets/UIImg/Machine/Pump_Lv2.Pump_Lv2; Lv3:/Game/Assets/UIImg/Machine/Pump_Lv3.Pump_Lv3
equipment_smelter,제련기,생산,"광석이나 원재료를 가공해 주괴, 숯, 유리 같은 자원으로 변환하는 생산 장비",철광석(resource_iron_ore); 구리광석(resource_copper_ore); 아연광석(resource_zinc_ore); 납광석(resource_lead_ore); 주석광석(resource_tin_ore); 알루미늄광석(resource_aluminum_ore); 니켈광석(resource_nickel_ore); 텅스텐광석(resource_tungsten_ore); 티타늄광석(resource_titanium_ore); 마그네슘광석(resource_magnesium_ore); 금광석(resource_gold_ore); 은광석(resource_silver_ore); 목재(resource_wood); 모래(resource_sand),철괴(resource_iron_ingot); 구리괴(resource_copper_ingot); 아연괴(resource_zinc_ingot); 납괴(resource_lead_ingot); 주석괴(resource_tin_ingot); 알루미늄괴(resource_aluminum_ingot); 니켈괴(resource_nickel_ingot); 텅스텐괴(resource_tungsten_ingot); 티타늄괴(resource_titanium_ingot); 마그네슘괴(resource_magnesium_ingot); 금괴(resource_gold_ingot); 은괴(resource_silver_ingot); 숯(resource_charcoal); 유리(resource_glass),10,컨베이어(equipment_conveyor),철괴 제작 공정(recipe_smelt_iron); 구리괴 제작 공정(recipe_smelt_copper); 아연괴 제작 공정(recipe_smelt_zinc); 납괴 제작 공정(recipe_smelt_lead); 주석괴 제작 공정(recipe_smelt_tin); 알루미늄괴 제작 공정(recipe_smelt_aluminum); 니켈괴 제작 공정(recipe_smelt_nickel); 텅스텐괴 제작 공정(recipe_smelt_tungsten); 티타늄괴 제작 공정(recipe_smelt_titanium); 마그네슘괴 제작 공정(recipe_smelt_magnesium); 금괴 제작 공정(recipe_smelt_gold); 은괴 제작 공정(recipe_smelt_silver); 숯 제작 공정(recipe_make_charcoal); 유리 제작 공정(recipe_make_glass),전력 부족(issue_no_power); 입력 자원 부족(issue_no_input); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state); 장비 내구도 저하(issue_machine_damaged); 설치 비용 부족(issue_build_cost_shortage),제련기(Smelter),1; 2; 3,철괴(resource_iron_ingot),Lv1:10; Lv2:10; Lv3:10,Lv1:1000; Lv2:1000; Lv3:1000,Lv1:10; Lv2:10; Lv3:10,1,1,1,1,5,5,Lv1:/Game/Assets/UIImg/Machine/Smelter_Lv1.Smelter_Lv1; Lv2:/Game/Assets/UIImg/Machine/Smelter_Lv2.Smelter_Lv2; Lv3:/Game/Assets/UIImg/Machine/Smelter_Lv3.Smelter_Lv3
equipment_storage,저장고,저장,자원을 입출고하는 저장 장비,고체/액체/기체 자원,고체/액체/기체 자원,0,컨베이어(equipment_conveyor); 파이프(equipment_pipe),,출력 공간 부족(issue_output_full); 저장소 가득 참(issue_storage_full); 저장 방식 불일치(issue_wrong_storage_type); 설치 비용 부족(issue_build_cost_shortage),저장고(WarehousePort),1,철괴(resource_iron_ingot),Lv1:10,Lv1:99999,Lv1:0,1,1,1,1,6,5,Lv1:/Game/Assets/UIImg/Machine/WarehousePort.WarehousePort
