자원ID,자원명,종류,획득방법,생산장비,사용처,사용레시피,관련자원,원본이름,형태,물질계열,자원타입,시각색상,이미지에셋,스태틱메시에셋
resource_wood,목재,원재료,목재은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,목탄 제작 공정(recipe_make_charcoal); 톱밥 제작 공정(recipe_make_sawdust),,wood,고체,wood,유기물,"(R=0.49,G=0.31,B=0.16,A=1.0)",/Game/Assets/UIImg/Resource/wood.wood,
resource_sawdust,톱밥,가공 자원,톱밥은(는) 분쇄기(equipment_grinder)의 톱밥 제작 공정(recipe_make_sawdust)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,,sawdust,고체,sawdust,유기물 분말,"(R=0.80,G=0.67,B=0.42,A=1.0)",/Game/Assets/UIImg/Resource/sawdust.sawdust,
resource_charcoal,목탄,가공 자원,목탄은(는) 제련기(equipment_smelter)의 목탄 제작 공정(recipe_make_charcoal)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,목탄가루 제작 공정(recipe_crush_charcoal),,charcoal,고체,charcoal,연료,"(R=0.18,G=0.18,B=0.18,A=1.0)",/Game/Assets/UIImg/Resource/charcoal.charcoal,
resource_charcoal_powder,목탄가루,가공 자원,목탄가루은(는) 분쇄기(equipment_grinder)의 목탄가루 제작 공정(recipe_crush_charcoal)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,,charcoal_powder,고체,charcoaldust,연료 분말,"(R=0.15,G=0.15,B=0.15,A=1.0)",/Game/Assets/UIImg/Resource/charcoal_powder.charcoal_powder,
resource_coal,석탄,원재료,석탄은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,석탄가루 제작 공정(recipe_crush_coal),,coal,고체,coal,연료 광석,"(R=0.12,G=0.12,B=0.14,A=1.0)",/Game/Assets/UIImg/Resource/coal.coal,
resource_coal_powder,석탄가루,가공 자원,석탄가루은(는) 분쇄기(equipment_grinder)의 석탄가루 제작 공정(recipe_crush_coal)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,,coal_powder,고체,coaldust,연료 분말,"(R=0.10,G=0.10,B=0.12,A=1.0)",/Game/Assets/UIImg/Resource/coal_powder.coal_powder,
resource_iron_ore,철광석,원재료,철광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,철괴 제작 공정(recipe_smelt_iron),철괴(resource_iron_ingot); 철가루(resource_iron_powder); 철근(resource_iron_bar); 철선(resource_iron_wire); 철판(resource_iron_plate),iron_ore,고체,iron,금속 광석,"(R=0.47,G=0.43,B=0.39,A=1.0)",/Game/Assets/UIImg/Resource/iron_ore.iron_ore,/Game/Assets/Ore/iron/SM_iron_ore.SM_iron_ore
resource_iron_ingot,철괴,가공 자원,철괴은(는) 제련기(equipment_smelter)의 철괴 제작 공정(recipe_smelt_iron)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_ironbar); 철선 제작 공정(recipe_make_ironwire); 철판 제작 공정(recipe_make_ironplate),철광석(resource_iron_ore); 철가루(resource_iron_powder); 철근(resource_iron_bar); 철선(resource_iron_wire); 철판(resource_iron_plate),iron_ingot,고체,iron,금속 주괴,"(R=0.67,G=0.69,B=0.72,A=1.0)",/Game/Assets/UIImg/Resource/iron_ingot.iron_ingot,/Game/Assets/Ingot/iron/SM_iron_ingot.SM_iron_ingot
resource_iron_powder,철가루,가공 자원,철가루은(는) 분쇄기(equipment_grinder)의 철가루 제작 공정(recipe_crush_iron)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,철광석(resource_iron_ore); 철괴(resource_iron_ingot); 철근(resource_iron_bar); 철선(resource_iron_wire); 철판(resource_iron_plate),iron_powder,고체,iron,금속 분말,"(R=0.58,G=0.60,B=0.63,A=1.0)",/Game/Assets/UIImg/Resource/iron_powder.iron_powder,
resource_copper_ore,구리광석,원재료,구리광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,구리괴 제작 공정(recipe_smelt_copper),구리괴(resource_copper_ingot); 구리가루(resource_copper_powder); 구리봉(resource_copper_bar); 구리선(resource_copper_wire); 구리판(resource_copper_plate),copper_ore,고체,copper,금속 광석,"(R=0.62,G=0.34,B=0.20,A=1.0)",/Game/Assets/UIImg/Resource/copper_ore.copper_ore,/Game/Assets/Ore/copper/SM_copper_ore.SM_copper_ore
resource_copper_ingot,구리괴,가공 자원,구리괴은(는) 제련기(equipment_smelter)의 구리괴 제작 공정(recipe_smelt_copper)에서 생산합니다.,제련기(equipment_smelter),관련 레시피 입력 재료로 사용,구리가루 제작 공정(recipe_crush_copper); 구리봉 제작 공정(recipe_make_copperbar); 구리선 제작 공정(recipe_make_copperwire); 구리판 제작 공정(recipe_make_copperplate),구리광석(resource_copper_ore); 구리가루(resource_copper_powder); 구리봉(resource_copper_bar); 구리선(resource_copper_wire); 구리판(resource_copper_plate),copper_ingot,고체,copper,금속 주괴,"(R=0.84,G=0.49,B=0.22,A=1.0)",/Game/Assets/UIImg/Resource/copper_ingot.copper_ingot,/Game/Assets/Ingot/copper/SM_copper_ingot.SM_copper_ingot
resource_copper_powder,구리가루,가공 자원,구리가루은(는) 분쇄기(equipment_grinder)의 구리가루 제작 공정(recipe_crush_copper)에서 생산합니다.,분쇄기(equipment_grinder),추가 사용처 확인 필요,,구리광석(resource_copper_ore); 구리괴(resource_copper_ingot); 구리봉(resource_copper_bar); 구리선(resource_copper_wire); 구리판(resource_copper_plate),copper_powder,고체,copper,금속 분말,"(R=0.76,G=0.42,B=0.18,A=1.0)",/Game/Assets/UIImg/Resource/copper_powder.copper_powder,
resource_zinc_ore,아연광석,원재료,아연광석은(는) 고체 자원 지점에서 채굴/채집하거나 보상/제작 목표로 확보합니다.,채굴기(equipment_miner_machine),관련 레시피 입력 재료로 사용,아연괴 제작 공정(recipe_smelt_zinc),아연괴(resource_zinc_ingot); 아연가루(resource_zinc_powder),zinc_ore,고체,zinc,금속 광석,"(R=0.53,G=0.58,B=0.65,A=1.0)",/Game/Assets/UIImg/Resource/zinc_ore.zinc_ore,
