튜토리얼ID,다음튜토리얼ID,그룹ID,그룹명,제목,설명,보상,시작대사,완료대사,실패대사,관련장비,관련자원,관련레시피
TUT_PROLOGUE_001,TUT_PROLOGUE_002,tutorial_prologue,tutorial_prologue,기상 확인,스카이의 호출에 응답하세요.,,SCAII: 정신이 드십니까? / SCAII: 개척 지원형 AI 스카이입니다.,SCAII: 생체 신호를 확인했습니다. / SCAII: 현재 상황을 간단히 설명드리겠습니다. / SCAII: . 을 눌러 다음으로,,,,
TUT_PROLOGUE_002,TUT_PROLOGUE_003,tutorial_prologue,tutorial_prologue,사고 상황 확인,현재 사고 상황에 대한 브리핑을 확인하세요.,,SCAII: 자기장 폭풍으로 인해 모선의 항법 시스템과 동면 유지 시스템이 정지했습니다. / SCAII: 프로토콜 37-21에 따라 전 인원은 탈출 포드를 통해 헤르메스 제2위성 N-13으로 긴급 탈출했습니다.,SCAII: 현재 다른 인원들과의 통신은 두절된 상태입니다. / SCAII: 지구와의 장거리 통신 역시 복구되지 않았습니다. / SCAII: . 을 눌러 다음으로,,,,
TUT_PROLOGUE_003,TUT_BASIC_001,tutorial_prologue,tutorial_prologue,초기 목표 확인,현재 생존 목표와 개척 방향을 확인하세요.,,SCAII: 현 위치는 전초 기지 후보지 중 한 곳으로 확인됩니다. / SCAII: 주변에는 개척에 필요한 다양한 자원이 매장되어 있습니다. / SCAII: 생존과 통신 복구를 위해 이 지역을 거점으로 개발할 것을 권장합니다.,SCAII: 우선 동면 해제 직후 신체 상태를 점검하겠습니다. / SCAII: 간단한 이동 테스트를 진행해주세요. / SCAII: . 을 눌러 다음으로,,,,
TUT_BASIC_001,TUT_BASIC_002,tutorial_basic,기초 조작,이동하기,"W, A, S, D를 눌러 캐릭터를 이동하세요.",,SCAII: 기초 이동 기능을 확인하겠습니다. / SCAII: 천천히 움직여주세요.,SCAII: 이동 상태를 확인했습니다. / SCAII: 이제 점프 동작을 점검하겠습니다. / SCAII: . 을 눌러 다음으로,,,,
TUT_BASIC_002,TUT_BASIC_003,tutorial_basic,기초 조작,점프하기,Space를 눌러 점프하세요.,,SCAII: 지형 적응 능력을 확인하겠습니다. / SCAII: 점프를 시도해주세요.,SCAII: 점프 기능 정상. / SCAII: 다음은 달리기 동작입니다. / SCAII: . 을 눌러 다음으로,,,,
TUT_BASIC_003,TUT_BASIC_004,tutorial_basic,기초 조작,달리기,Shift를 눌러 달리세요.,철괴(resource_iron_ingot) 10,SCAII: 이제 단거리 기동 상태를 확인하겠습니다.,SCAII: 기본적인 신체 기능에는 문제가 없습니다. / SCAII: 다음 단계로 진행하겠습니다. / SCAII: . 을 눌러 다음으로,,,철괴(resource_iron_ingot),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_BASIC_004,TUT_BASIC_005,tutorial_basic,기초 조작,인벤토리 열기,I를 눌러 인벤토리를 여세요.,,SCAII: 지급된 물자를 확인하겠습니다. / SCAII: 인벤토리를 열어주세요.,SCAII: 물자 확인을 마쳤습니다. / SCAII: 필요한 자원은 이곳에서 관리할 수 있습니다. / SCAII: . 을 눌러 다음으로,,,물(resource_water),
TUT_BASIC_005,TUT_BUILD_001,tutorial_basic,기초 조작,인벤토리 닫기,I를 다시 눌러 인벤토리를 닫으세요.,,SCAII: 이제 인벤토리를 닫고 다음 절차로 이동하겠습니다.,SCAII: 좋습니다. / SCAII: 이제 기지 구축을 시작하겠습니다. / SCAII: . 을 눌러 다음으로,,,,
TUT_BUILD_001,TUT_BUILD_002,tutorial_build,건설 조작,빌드 모드 진입,B를 눌러 빌드 모드로 전환하세요.,,SCAII: 건설을 진행하려면 빌드 모드 전환이 필요합니다. / SCAII: 빌드 모드로 전환해주세요.,SCAII: 빌드 모드 진입을 확인했습니다. / SCAII: 이제 화면 회전 조작을 확인하겠습니다. / SCAII: . 을 눌러 다음으로,,,,
TUT_BUILD_002,TUT_BUILD_003,tutorial_build,건설 조작,화면 왼쪽 회전,Q를 눌러 화면을 왼쪽으로 회전하세요.,,SCAII: 건설 중에는 시점을 회전할 수 있습니다. / SCAII: Q를 눌러 화면을 왼쪽으로 회전해주세요.,SCAII: 왼쪽 회전을 확인했습니다. / SCAII: . 을 눌러 다음으로,,,,
