문제ID,문제명,증상,가능원인,확인순서,추천행동ID,해결방법,관련장비,관련자원
issue_machine_stopped,장비가 멈췄을 때,장비 애니메이션 정지; 생산량 증가 없음; 작동 표시 꺼짐,전력 부족(issue_no_power); 입력 자원 부족(issue_no_input); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 레시피 설정 오류(issue_wrong_recipe); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state); 장비 내구도 저하(issue_machine_damaged),전력 → 입력 자원 → 출력 공간 → 물류 연결 → 레시피 → 장비 타입 → 내구도 순서로 확인,전력 상태 확인(action_check_power); 입력 자원 확인(action_check_input_resource); 저장 공간 확인(action_check_storage); 컨베이어 확인(action_check_conveyor); 레시피 설정 확인(action_set_recipe); 장비 타입 확인(action_check_machine_type); 내구도 확인(action_check_durability),"전력, 입력 자원, 출력 저장 공간, 운송 연결, 레시피, 장비 타입, 내구도를 순서대로 확인합니다.",제련기(equipment_smelter); 분쇄기(equipment_grinder); 채굴기(equipment_miner_machine); 펌프(equipment_pump); 압축기(equipment_air_compressor); 발전소(equipment_power_plant); 전력 노드(equipment_power_grid_node); 자기 보호막(equipment_magnetic_shield); 컨베이어(equipment_conveyor); 저장고(equipment_storage); 성형기(equipment_moldingmachine); 합성기(equipment_synthesizer),
issue_no_power,전력 부족,장비가 작동하지 않음; 전력 경고 표시; 생산 속도 저하,연료 부족(issue_no_fuel); 전력망 연결 끊김(issue_power_network_disconnected),발전소 → 연료 → 전력 노드 → 대상 장비 연결 확인,전력 상태 확인(action_check_power); 발전소 확인(action_check_generator); 연료 확인(action_check_fuel); 전력망 연결 확인(action_check_power_network),"발전소 가동 여부, 연료, 전력 노드 연결 상태를 확인합니다.",발전소(equipment_power_plant); 전력 노드(equipment_power_grid_node); 제련기(equipment_smelter); 분쇄기(equipment_grinder); 채굴기(equipment_miner_machine); 펌프(equipment_pump); 압축기(equipment_air_compressor); 자기 보호막(equipment_magnetic_shield),전력(resource_power)
issue_no_fuel,연료 부족,발전소 작동 중지; 전력 생산량 감소,입력 자원 부족(issue_no_input); 컨베이어 막힘(issue_conveyor_blocked),연료 재고 → 발전소 입력 슬롯 → 컨베이어/파이프 연결 확인,연료 확인(action_check_fuel); 입력 자원 확인(action_check_input_resource); 컨베이어 확인(action_check_conveyor),발전소에 연료 자원이 공급되는지 확인합니다.,발전소(equipment_power_plant); 컨베이어(equipment_conveyor),숯(resource_charcoal); 숯가루(resource_charcoal_powder); 석탄(resource_coal); 석탄가루(resource_coal_powder); 석유(resource_petrolium); 우라늄(resource_uranium)
issue_power_network_disconnected,전력망 연결 끊김,장비가 전력망과 연결되지 않음,전력 부족(issue_no_power),전력 노드 설치 위치와 연결된 장비를 확인,전력망 연결 확인(action_check_power_network); 전력 상태 확인(action_check_power),"발전소와 전력 노드, 대상 장비 연결 상태를 확인합니다.",발전소(equipment_power_plant); 전력 노드(equipment_power_grid_node),전력(resource_power)
issue_no_input,입력 자원 부족,입력 슬롯이 비어 있음; 생산량 증가 없음; 상위 라인에서 자원이 도착하지 않음,컨베이어 막힘(issue_conveyor_blocked); 파이프 막힘(issue_pipe_blocked); 자원 부족(issue_resource_shortage),현재 레시피 입력 자원 → 상위 장비 → 물류 연결 확인,입력 자원 확인(action_check_input_resource); 상위 장비 확인(action_check_upstream_machine); 컨베이어 확인(action_check_conveyor); 파이프 확인(action_check_pipe),"현재 레시피의 입력 자원과 실제 입력 슬롯을 비교하고, 상위 장비와 운송 장치 상태를 확인합니다.",제련기(equipment_smelter); 분쇄기(equipment_grinder); 컨베이어(equipment_conveyor); 파이프(equipment_pipe); 성형기(equipment_moldingmachine); 합성기(equipment_synthesizer),
issue_resource_shortage,자원 부족,특정 자원 수량이 계속 부족함; 하위 공정이 대기함,입력 자원 부족(issue_no_input); 생산 병목(issue_production_bottleneck),부족 자원 → 생산 레시피 → 상위 장비 수량 확인,입력 자원 확인(action_check_input_resource); 상위 장비 확인(action_check_upstream_machine); 장비 수 확인(action_check_machine_count),부족 자원을 사용하는 레시피와 생산 장비를 확인하고 필요한 경우 상위 생산량을 늘립니다.,채굴기(equipment_miner_machine); 제련기(equipment_smelter); 분쇄기(equipment_grinder); 저장고(equipment_storage),
issue_output_full,출력 공간 부족,출력 슬롯이 가득 참; 생산 결과가 배출되지 않음,저장소 가득 참(issue_storage_full); 컨베이어 막힘(issue_conveyor_blocked); 파이프 막힘(issue_pipe_blocked); 저장 방식 불일치(issue_wrong_storage_type),출력 슬롯 → 저장소 여유 공간 → 물류 방향/연결 확인,저장 공간 확인(action_check_storage); 컨베이어 확인(action_check_conveyor); 파이프 확인(action_check_pipe); 저장 방식 확인(action_check_storage_type),"출력 저장 공간과 운송 라인, 자원 상태에 맞는 저장소 사용 여부를 확인합니다.",제련기(equipment_smelter); 분쇄기(equipment_grinder); 저장고(equipment_storage); 탱크(equipment_storage_tank); 컨베이어(equipment_conveyor); 파이프(equipment_pipe); 성형기(equipment_moldingmachine); 합성기(equipment_synthesizer),
issue_storage_full,저장소 가득 참,저장고 또는 탱크에 빈 공간이 없음,출력 공간 부족(issue_output_full),저장소 용량과 하위 배출 경로 확인,저장 공간 확인(action_check_storage); 하위 경로 확인(action_check_downstream_route),저장 공간을 비우거나 하위 운송 경로를 확보합니다.,저장고(equipment_storage); 탱크(equipment_storage_tank),
issue_conveyor_blocked,컨베이어 막힘,고체 자원이 이동하지 않음; 목적지로 도착하지 않음,출력 공간 부족(issue_output_full); 물류 방식 불일치(issue_wrong_transport_type),컨베이어 방향 → 연결 상태 → 목적지 저장 공간 확인,컨베이어 확인(action_check_conveyor); 저장 공간 확인(action_check_storage); 물류 방식 확인(action_check_transport_type),"컨베이어 방향, 연결 상태, 목적지 저장 공간, 자원 상태와 운송 방식 일치 여부를 확인합니다.",컨베이어(equipment_conveyor); 채굴기(equipment_miner_machine); 제련기(equipment_smelter); 분쇄기(equipment_grinder); 저장고(equipment_storage),
issue_pipe_blocked,파이프 막힘,액체/기체 자원이 이동하지 않음; 탱크나 장비로 공급되지 않음,출력 공간 부족(issue_output_full); 물류 방식 불일치(issue_wrong_transport_type),파이프 방향 → 연결 상태 → 탱크 여유 공간 확인,파이프 확인(action_check_pipe); 저장 공간 확인(action_check_storage); 물류 방식 확인(action_check_transport_type),"파이프 연결, 방향, 탱크 여유 공간, 자원 상태와 운송 방식 일치 여부를 확인합니다.",파이프(equipment_pipe); 펌프(equipment_pump); 압축기(equipment_air_compressor); 탱크(equipment_storage_tank); 저장고(equipment_storage),물(resource_water); 폐수(resource_waste_water); 산(resource_acid); 석유(resource_petrolium); 수은(resource_mercury); 산소(resource_oxygen); 수소(resource_hydrogen); 질소(resource_nitrogen); 헬륨(resource_helium)
